# tier-2 gate partition table -- #868
# GENERATED by scripts/gate_partition_build.py from measured logs.
# Do not hand-edit a verdict: the runner re-checks each module's sha256
# and demotes any module whose bytes no longer match its proof.
# commit      92142512c3
# gate path   test/registered/unit/mem_cache
# serial ref  /tmp/t2c_memcache_serial_ref.log
#             {'failed': 2, 'passed': 2745, 'skipped': 927, 'warning': 23} wall=169.14s
# solo dir    /tmp/t2c_memcache_solo
# hermetic    every run behind this table used CUDA_VISIBLE_DEVICES=""
#
# verdicts
#   PARALLEL  solo failure set == serial failure set -> wide lane
#   RANKS     same proof, but the module spawns real ranks -> narrow lane,
#             bounded workers so no rank is starved past its timeout
#   SERIAL    proof failed -> one process, one order (reason below)
#   EXCLUDED  cannot run at the desk at all (needs a card) -> neither track,
#             reported on every run so the gate is never read wider than it is
# totals      {'PARALLEL': 171, 'RANKS': 13, 'SERIAL': 0, 'EXCLUDED': 0}
#
#module	verdict	reason	sha256	ref_failures
test/registered/unit/mem_cache/test_evictable_reachability_681.py	PARALLEL	solo_equals_serial	ed8f86bf54c885c9	
test/registered/unit/mem_cache/test_flip_seam_guard_760.py	PARALLEL	solo_equals_serial	3b7b9f55063194ee	
test/registered/unit/mem_cache/test_flip_writeback_703.py	PARALLEL	solo_equals_serial	066c25b2bee07bde	
test/registered/unit/mem_cache/test_flip_writeback_drain_conformance_872.py	PARALLEL	solo_equals_serial	9e2ac777032685a1	
test/registered/unit/mem_cache/test_flip_writeback_silent_refusal_872.py	PARALLEL	solo_equals_serial	0db2b4a4815e4e9a	
test/registered/unit/mem_cache/test_free_group_lifecycle_827.py	PARALLEL	solo_equals_serial	eebf303ce24d0a4f	
test/registered/unit/mem_cache/test_free_under_pin_refused_904.py	PARALLEL	solo_equals_serial	956c3b558c7403b5	
test/registered/unit/mem_cache/test_full_loc_fast_path.py	PARALLEL	solo_equals_serial	83b6347fdc235ad4	
test/registered/unit/mem_cache/test_gdn_cap_flip_two_stacks_631.py	PARALLEL	solo_equals_serial	9e31d1792fe6d53e	
test/registered/unit/mem_cache/test_gdn_ladder_decouple.py	PARALLEL	solo_equals_serial	f8fe19b3e24dc488	
test/registered/unit/mem_cache/test_gdn_resident_cap_floor_656.py	PARALLEL	solo_equals_serial	a77f850f0472a74a	
test/registered/unit/mem_cache/test_gdn_slot_executor.py	PARALLEL	solo_equals_serial	4d59c9d28eb7c3bb	
test/registered/unit/mem_cache/test_gdn_slot_ladder.py	PARALLEL	solo_equals_serial	9ab538ac65df2961	
test/registered/unit/mem_cache/test_gdn_slot_runtime.py	PARALLEL	solo_equals_serial	8c8e7f2ccb9dca51	
test/registered/unit/mem_cache/test_hf3fs_batch_set_contract.py	PARALLEL	solo_equals_serial	79cea9a689e5dc35	
test/registered/unit/mem_cache/test_hicache_bounded_waits_630.py	RANKS	solo_equals_serial;spawns_real_ranks:torch.distributed	f11bb412bd08d827	
test/registered/unit/mem_cache/test_hicache_canonical_key_706.py	PARALLEL	solo_equals_serial	aa632ebf1ca29ab3	
test/registered/unit/mem_cache/test_hicache_collective_wedge.py	RANKS	solo_equals_serial;spawns_real_ranks:torch.distributed	34119f6f7f7faaea	
test/registered/unit/mem_cache/test_hicache_composition_refusal_614.py	PARALLEL	solo_equals_serial	ea2009d1031fa1c9	
test/registered/unit/mem_cache/test_hicache_enospc_545.py	PARALLEL	solo_equals_serial	a6a3c3cd7966ce1e	
test/registered/unit/mem_cache/test_hicache_file_bounds_558.py	PARALLEL	solo_equals_serial	972822da6d34a2e3	
test/registered/unit/mem_cache/test_hicache_file_lru_unit.py	PARALLEL	solo_equals_serial	945b35a6110706db	
test/registered/unit/mem_cache/test_hicache_forced_handover_unit.py	PARALLEL	solo_equals_serial	4fe2a77a214a49ba	
test/registered/unit/mem_cache/test_hicache_gdn_layer_counter_752.py	PARALLEL	solo_equals_serial	1d1840471687db2a	
test/registered/unit/mem_cache/test_hicache_layer_cut_706.py	PARALLEL	solo_equals_serial	896530c95f6ec8bd	
test/registered/unit/mem_cache/test_hicache_migrate.py	PARALLEL	solo_equals_serial	21d2193d5f3b2ed0	
