# tier-2 gate partition table -- #868
# GENERATED by scripts/gate_partition_build.py from measured logs.
# Do not hand-edit a verdict: the runner re-checks each module's sha256
# and demotes any module whose bytes no longer match its proof.
# commit      4db09b72f5
# gate path   test/registered/radix_cache/unified_radix_tree
# serial ref  /tmp/862_urt_serial.log
#             {'warning': 1, 'error': 56} wall=12.01s
# solo dir    /tmp/862_urt_solo
# hermetic    every run behind this table used CUDA_VISIBLE_DEVICES=""
#
# verdicts
#   PARALLEL  solo failure set == serial failure set -> wide lane
#   RANKS     same proof, but the module spawns real ranks -> narrow lane,
#             bounded workers so no rank is starved past its timeout
#   SERIAL    proof failed -> one process, one order (reason below)
#   EXCLUDED  cannot run at the desk at all (needs a card) -> neither track,
#             reported on every run so the gate is never read wider than it is
# totals      {'PARALLEL': 0, 'RANKS': 0, 'SERIAL': 0, 'EXCLUDED': 8}
#
#module	verdict	reason	sha256	ref_failures
test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_hicache_pp_kl.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	bb5b0cb662d59369	test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_hicache_pp_kl.py::TestUnifiedQwen3HiCachePP::test_gsm8k,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_hicache_pp_kl.py::TestUnifiedQwen3HiCachePP::test_mmlu,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_hicache_pp_kl.py::TestUnifiedQwen3HiCachePP::test_multiturn_decode_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_hicache_pp_kl.py::TestUnifiedQwen3HiCachePP::test_multiturn_logprobs_match,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_hicache_pp_kl.py::TestUnifiedQwen3HiCachePP::test_multiturn_prefill_cache_hit_branching
test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_cp.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	c6f599330083074c	test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_cp.py::TestUnifiedQwen3HiCacheCP::test_gsm8k,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_cp.py::TestUnifiedQwen3HiCacheCP::test_mmlu,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_cp.py::TestUnifiedQwen3HiCacheCP::test_multiturn_decode_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_cp.py::TestUnifiedQwen3HiCacheCP::test_multiturn_logprobs_match,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_cp.py::TestUnifiedQwen3HiCacheCP::test_multiturn_prefill_cache_hit_branching
test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	92cede671ea84775	test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashEagleHiCacheL3::test_eagle_l3_storage_cache_hit,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashEagleHiCacheL3::test_gsm8k_two_passes,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashEagleHiCacheL3::test_l3_prefetch_full_prefix_hit_after_flush,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCache::test_gsm8k,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCache::test_mmlu,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCache::test_multiturn_decode_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCache::test_multiturn_logprobs_match,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCache::test_multiturn_prefill_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCacheL3::test_gsm8k_two_passes,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCacheL3::test_l3_prefetch_full_prefix_hit_after_flush,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCachePageFirstDirect::test_gsm8k,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCachePageFirstDirect::test_mmlu,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCachePageFirstDirect::test_multiturn_decode_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCachePageFirstDirect::test_multiturn_logprobs_match,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4.py::TestUnifiedDeepSeekV4FlashHiCachePageFirstDirect::test_multiturn_prefill_cache_hit_branching
test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4_pp.py	EXCLUDED	needs_server:inherits_from_launcher_sibling:test_unified_radix_cache_kl_dsv4	57d8d5fe7a12b484	test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4_pp.py::TestUnifiedDeepSeekV4FlashHiCachePP4TP2::test_gsm8k,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4_pp.py::TestUnifiedDeepSeekV4FlashHiCachePP4TP2::test_mmlu,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4_pp.py::TestUnifiedDeepSeekV4FlashHiCachePP4TP2::test_multiturn_decode_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4_pp.py::TestUnifiedDeepSeekV4FlashHiCachePP4TP2::test_multiturn_logprobs_match,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_dsv4_pp.py::TestUnifiedDeepSeekV4FlashHiCachePP4TP2::test_multiturn_prefill_cache_hit_branching
test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_full.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	d300abb5f7205add	test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_full.py::TestUnifiedFullRadixCache::test_gsm8k,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_full.py::TestUnifiedFullRadixCache::test_mmlu,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_full.py::TestUnifiedFullRadixCache::test_multiturn_decode_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_full.py::TestUnifiedFullRadixCache::test_multiturn_logprobs_match,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_full.py::TestUnifiedFullRadixCache::test_multiturn_prefill_cache_hit_branching
test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	4dce9609d4c8917c	test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaHiCache::test_gsm8k,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaHiCache::test_mmlu,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaHiCache::test_multiturn_decode_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaHiCache::test_multiturn_logprobs_match,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaHiCache::test_multiturn_prefill_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaHiCacheL3::test_gsm8k_two_passes,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaHiCacheL3::test_l3_prefetch_full_prefix_hit_after_flush,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaRadixCache::test_gsm8k,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaRadixCache::test_mmlu,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaRadixCache::test_multiturn_decode_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaRadixCache::test_multiturn_logprobs_match,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_mamba.py::TestUnifiedMambaRadixCache::test_multiturn_prefill_cache_hit_branching
test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_nightly.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	a7f29a1bb5af05f2	test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_nightly.py::TestGLM5HiRadixCacheL3Accuracy::test_gsm8k_two_passes,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_nightly.py::TestGLM5HiRadixCacheL3Accuracy::test_l3_prefetch_full_prefix_hit_after_flush,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_nightly.py::TestGLM5UnifiedRadixCacheL3Accuracy::test_gsm8k_two_passes,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_nightly.py::TestGLM5UnifiedRadixCacheL3Accuracy::test_l3_prefetch_full_prefix_hit_after_flush
test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_swa.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	8dc54cf8be76fe70	test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_swa.py::TestUnifiedSWARadixCache::test_gsm8k,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_swa.py::TestUnifiedSWARadixCache::test_mmlu,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_swa.py::TestUnifiedSWARadixCache::test_multiturn_decode_cache_hit_branching,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_swa.py::TestUnifiedSWARadixCache::test_multiturn_logprobs_match,test/registered/radix_cache/unified_radix_tree/test_unified_radix_cache_kl_swa.py::TestUnifiedSWARadixCache::test_multiturn_prefill_cache_hit_branching
